,Unnamed: 0,min_A,min_B,min_C,avg_A,avg_B,avg_C,max_A,max_B,max_C,std_A,std_B,std_C,state_AA,lb_AA,ub_AA,state_AB,lb_AB,ub_AB,state_AC,lb_AC,ub_AC,state_BA,lb_BA,ub_BA,state_BC,lb_BC,ub_BC,state_CB,lb_CB,ub_CB,state_CC,lb_CC,ub_CC,Adj,k_max,params,path,adj_tup,index,type,estimated_params,original_params,euclidian_dist,search_alg,Has_closer_est,closer_est_index,b_C,V_C,K_AC,K_BC,K_CC,b_C_est,V_C_est,K_AC_est,K_BC_est,K_CC_est,b_C_est_ratio,V_C_est_ratio,K_AC_est_ratio,K_BC_est_ratio,K_CC_est_ratio,bad_estimates,list_of_bad_estimates,loss,loss_hat,loss_ratio,loss_A_alienor,b_A_alienor,V_A_alienor,K_AA_alienor,K_BA_alienor,loss_B_alienor,b_B_alienor,V_B_alienor,K_AB_alienor,K_CB_alienor,loss_C_alienor,b_C_alienor,V_C_alienor,K_AC_alienor,K_BC_alienor,K_CC_alienor,b_A,V_A,K_AA,K_BA,b_B,V_B,K_AB,K_CB,b_A_alienor_est_ratio,V_A_alienor_est_ratio,K_AA_alienor_est_ratio,K_BA_alienor_est_ratio,b_B_alienor_est_ratio,V_B_alienor_est_ratio,K_AB_alienor_est_ratio,K_CB_alienor_est_ratio,b_C_alienor_est_ratio,V_C_alienor_est_ratio,K_AC_alienor_est_ratio,K_BC_alienor_est_ratio,K_CC_alienor_est_ratio,bad_estimates_A_alienor,list_of_bad_estimates_A_alienor,bad_estimates_B_alienor,list_of_bad_estimates_B_alienor,bad_estimates_C_alienor,list_of_bad_estimates_C_alienor
0,0,0.8793113491557626,27.46709964987231,2.000049607891685,3.85994209665612,31.707844789270883,2.000238399428164,6.759598103256987,35.970981738090444,2.00054297012842,1.4901104922678814,1.987235214166405,0.0001301418991428,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,4.450044500445005,140.54140541405414,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",8.430177055552395,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 0.5, 0.5, 50.0, 25.0, 5.0, 1.0, 0.5, 10.0, 10.0, 5.0)",outputs_second_search/solution_10_0_24.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",0,labyrinth,"(1.0000040060693434, 479.805862328772, 4.934192644164136, 2.101689285070666, 5.592490467138947)","(1.0, 10.0, 5.0, 5.0, 5.0)",469.8151805327741,L_BFGS_B,True,5,1.0,10.0,5.0,5.0,5.0,1.0000040060693434,479.805862328772,4.934192644164136,2.101689285070666,5.592490467138947,0.9999959939467052,0.020841762856886,1.0133370057842588,2.379038631217974,0.8940560613164428,2,"('V_C', 'K_BC')",9.617465912273296e-08,2.2768040442613975e-08,0.763263622140229,2.321100903939875,0.03453686093899846,500.0,5.188886772809882,7.377831966234333,5.874108625020817,0.5440833871014283,49.847717545150076,5.000759889767671,29.991932249734045,1.0813042909406818e-06,0.9998859140601104,77.08108835013586,10.012666566263032,14.321177483207721,21.46560646211628,0.001,5.0,5.0,25.0,0.5,50.0,5.0,10.0,0.02895457122655917,0.01,0.9635978233713517,3.388529328726373,0.9189767815990855,1.0030549534131026,0.9998480451402545,0.33342299911632656,1.0001140989569763,0.1297335081022163,0.49936747288151434,0.3491333031702696,0.23293075873836985,3,"('b_A', 'V_A', 'K_BA')",1,"('K_CB',)",4,"('V_C', 'K_AC', 'K_BC', 'K_CC')"
1,1,0.1164364281858937,4.861978395033702,2.0073917025184462,2.5924158882086368,5.722580097733872,2.1022080316611453,7.983336448306287,6.991983663335906,2.1861695921713657,2.202454576420158,0.485618608538163,0.0495350712592535,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",30.49763839408395,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 1.0, 0.5, 10.0, 5.0, 5.0, 20.0, 10.0, 100.0, 10.0, 5.0)",outputs_second_search/solution_10_0_26.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",1,in-between,"(20.000304386347153, 85.2389610668721, 4.997341212844149, 4.9936903459814115, 4.794073646196861)","(20.0, 100.0, 5.0, 5.0, 5.0)",14.762476859322849,L_BFGS_B,True,27,20.0,100.0,5.0,5.0,5.0,20.000304386347157,85.2389610668721,4.997341212844149,4.993690345981412,4.794073646196861,0.9999847809142663,1.1731724407286883,1.0005320403475788,1.0012635252851965,1.0429543576091076,0,(),0.0016473572401744,0.0015268961979093,0.0731238126906706,2.279502765760398,0.0038544609089861343,8.578829873499604,5.089907634548267,4.238774970253429,0.12755146890112184,1.0011950914699734,9.981692504139302,4.999922912248334,59.59426375409735,0.0009182133734918996,12.647122570304212,22.44369651169292,55.17692117108897,43.70270031718131,2.3929930816340357,0.001,5.0,5.0,5.0,1.0,10.0,5.0,10.0,0.25943965281075765,0.582830068171095,0.9823360970368088,1.1795860915214045,0.9988063350688039,1.0018341073773918,1.0000154177880376,0.1678013850672408,1.5813873779448098,4.4555940215953775,0.09061759688432648,0.1144094063687478,2.089433537595433,2,"('b_A', 'V_A')",1,"('K_CB',)",5,"('b_C', 'V_C', 'K_AC', 'K_BC', 'K_CC')"
2,2,0.4188299292998592,10.480203729773422,2.032848206950105,3.306252219903573,12.188667058233731,9.855274776147226,7.779957202935182,14.042249362032358,20.05668678134972,1.93600856155578,0.9236933633288132,7.000236229235519,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,17.790177901779018,562.1956219562196,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",7.155637806089962,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 1.0, 0.5, 20.0, 10.0, 10.0, 1.0, 0.5, 20.0, 100.0, 5.0)",outputs_second_search/solution_10_0_27.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",2,in-between,"(1.0716883910856319, 18.63238110891544, 5.166049192289773, 10.298392269161836, 6.531837435690411)","(1.0, 20.0, 5.0, 10.0, 5.0)",2.0829442783248,L_BFGS_B,True,10,1.0,20.0,5.0,10.0,5.0,1.071688391085632,18.63238110891544,5.166049192289773,10.298392269161836,6.531837435690411,0.9331070564149616,1.0734001136564433,0.9678576052784016,0.9710253541171314,0.7654813900725169,1,"('K_CC',)",349.4342182299661,173.77872778438316,0.5026854305664545,2.1355715222505034,0.00954418581428222,11.892373968716726,5.09687286999126,7.733845851049183,0.7338346449489572,1.0055007448534703,19.995353443196358,5.000724170673849,493.55312472450146,165.36476953253143,1.0720329398679,18.627775865664088,5.168393462670192,10.299576022417485,6.5382672547516245,0.001,5.0,5.0,10.0,1.0,20.0,5.0,100.0,0.10477583100944751,0.42043750164203225,0.9809936656333699,1.2930177550207298,0.9945293478084177,1.0002323818289505,0.999855186839119,0.20261243418491054,0.9328071580741015,1.0736654845018445,0.9674186062097537,0.9709137520063501,0.7647286054827901,3,"('b_A', 'V_A', 'K_BA')",1,"('K_CB',)",1,"('K_CC',)"
3,4,0.5968172216301024,26.80706558153072,10.271111531020722,3.934025158212957,32.08788887565329,10.397189714689183,6.592565730073738,35.59711764127561,10.691463123626178,1.4109939489278005,1.9201413059310064,0.082912193029888,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.4400444004440045,140.55140551405515,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",8.093606128612999,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 25.0, 0.5, 0.5, 50.0, 25.0, 25.0, 5.0, 0.5, 25.0, 25.0, 25.0)",outputs_second_search/solution_10_0_37.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",3,in-between,"(5.007433061584645, 17.039918288137567, 25.461363535507967, 24.56459702422499, 22.585936842792673)","(5.0, 25.0, 25.0, 25.0, 25.0)",8.34224724520481,L_BFGS_B,True,120,5.0,25.0,25.0,25.0,25.0,5.007433061584645,17.039918288137567,25.461363535507967,24.56459702422499,22.585936842792677,0.9985155944186916,1.467143185622192,0.9818798574999898,1.017724816545764,1.1068834635468163,1,"('V_C',)",0.039787572126019,0.0054852164451444,0.8621374426222546,1.4330358330132231,0.03347103727718478,500.0,5.141162787155276,7.360075961036491,3.6257453606019956,0.5420500543255812,48.559467477219584,5.003346416481568,453.78976156852565,0.004658859013580799,5.014254128550559,35.882671599458405,16.907765093772433,24.079142419639705,27.187561874342418,0.001,5.0,5.0,25.0,0.5,50.0,5.0,25.0,0.02987657632832433,0.01,0.9725426342250905,3.3967040737551497,0.9224240381676562,1.029665327846855,0.9993311643442188,0.055091591122698375,0.99715727839373,0.6967151241987606,1.478610559192601,1.0382429558458532,0.919538137165331,3,"('b_A', 'V_A', 'K_BA')",1,"('K_CB',)",2,"('V_C', 'K_AC')"
4,5,0.1644073732627528,9.032557538013425,4.085822564319497,2.588992582525192,11.224012209607352,4.251898301247103,7.6723525979975955,14.041682469931589,4.455098613393734,2.080805535298003,1.1991440568863567,0.0855181351116217,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,3.560035600356004,112.43112431124312,Active,1.770017700177002,56.22056220562206,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",21.320663081660705,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 10.0, 1.0, 0.5, 25.0, 10.0, 10.0, 20.0, 5.0, 100.0, 20.0, 10.0)",outputs_second_search/solution_10_0_39.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",4,in-between,"(20.008009285043443, 51.44384813881125, 9.930328343292416, 9.890003320575639, 8.35776429162995)","(20.0, 100.0, 10.0, 10.0, 10.0)",48.584090392293525,L_BFGS_B,True,29,20.0,100.0,10.0,10.0,10.0,20.008009285043443,51.44384813881125,9.930328343292416,9.89000332057564,8.35776429162995,0.9995996960552478,1.943867024297432,1.0070160476369994,1.0111220063187965,1.196492225799512,1,"('V_C',)",0.0051936361767481,0.0030704083569019,0.408813353032294,1.8988120516240272,0.005284556466989607,8.270833271995635,5.091935607203164,8.572554612736566,0.6685354550661076,1.0045513842261529,24.951226410354398,5.0004123569487735,306.76856848933016,0.00013741253257897642,13.10384957247759,23.208269901854013,52.10791525703874,71.27475644251486,4.954772251768581,0.001,5.0,5.0,10.0,1.0,25.0,5.0,20.0,0.1892306395525486,0.6045340095210953,0.9819448606001401,1.1665134200653122,0.9954692370170203,1.0019547572068586,0.9999175354112145,0.06519572751044612,1.5262690470750369,4.308808904019657,0.1919094239458985,0.14030212797802105,2.0182562369906205,2,"('b_A', 'V_A')",1,"('K_CB',)",5,"('b_C', 'V_C', 'K_AC', 'K_BC', 'K_CC')"
5,7,0.8984375113249949,28.14916752256508,10.28440042566124,4.120258797689463,32.54095478692098,10.369177591742684,6.201927012197223,35.48592341920024,10.561408948860354,1.1155169456130234,1.6191180852261764,0.0519085778172774,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,3.560035600356004,112.43112431124312,Active,4.4400444004440045,140.55140551405515,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",5.392088340438734,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 25.0, 0.5, 0.5, 50.0, 25.0, 25.0, 1.0, 0.1, 5.0, 20.0, 25.0)",outputs_second_search/solution_10_0_44.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",5,labyrinth,"(0.8355945183491891, 461.22577334790077, 46.09245863516542, 78.41357278429396, 71.20383594332267)","(1.0, 5.0, 25.0, 25.0, 25.0)",462.1414061959708,L_BFGS_B,True,120,1.0,5.0,25.0,25.0,25.0,0.8355945183491891,461.2257733479008,46.09245863516542,78.41357278429396,71.20383594332267,1.1967527048593047,0.0108406777958362,0.5423880769277666,0.3188223557772569,0.3511046795273737,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",0.0394546526725011,0.0004347507994768,0.988981000464366,1.228362241706424,0.050278552556880504,500.0,5.1569050339925,7.302919445708156,3.90301421176599,0.5661848525482223,46.65831899597155,5.00685638440365,388.9083246854251,0.0018016655247653957,1.0055449033410706,4.412706888504871,27.34314331233077,26.24213927334476,26.285112695754005,0.001,5.0,5.0,25.0,0.5,50.0,5.0,20.0,0.01988919627049113,0.01,0.9695737980516923,3.4232884787866884,0.883103809205872,1.0716202614225552,0.9986306009445353,0.05142600127209241,0.9944856730687542,1.1330913487648662,0.914306000390449,0.952666234242326,0.951108724142484,3,"('b_A', 'V_A', 'K_BA')",1,"('K_CB',)",0,()
6,8,0.0202937297676467,0.4155162137225883,0.2029465772572909,0.0875295278788908,0.5552876676382548,0.2311107957685425,0.3466829290553375,0.8966456744054053,13.738935763023948,0.0705823335698418,0.0901484554309464,0.3591721015638703,Active,0.080000800008,2.8200282002820027,Active,0.080000800008,2.8200282002820027,Active,0.1800018000180002,5.620056200562006,Active,0.0900009000090001,2.810028100281003,Active,0.0900009000090001,2.810028100281003,Active,8.90008900089001,281.0928109281093,Active,0.1700017000170001,5.630056300563006,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",21.278114192070305,"(4.0, 0.001, 0.1, 5.0, 0.5, 0.5, 1.0, 0.1, 1.0, 50.0, 0.5, 0.5, 1.0, 5.0, 100.0, 50.0, 1.0)",outputs_second_search/solution_10_0_4.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",6,spot,"(1.1060929719945531, 549.6796615490723, 0.03905291976599431, 0.26014761094968286, 4.302117268586342)","(1.0, 100.0, 1.0, 0.5, 1.0)",449.69288875133657,L_BFGS_B,True,21,1.0,100.0,1.0,0.5,1.0,1.1060929719945531,549.6796615490723,0.0390529197659943,0.2601476109496828,4.302117268586342,0.904083133442895,0.1819241405406675,25.60628004236342,1.921985745610821,0.2324436870426351,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",2742.119429704949,72.2508243257571,0.9736514669845976,0.0012114975591782683,0.0012551130173945883,12.579103328772632,0.5534258326038951,0.42764213141643537,0.002283042233663315,0.10052258191270105,49.9542895774201,0.49988063620760015,10.15440007439459,63.12522541432421,1.1059333978476085,500.0,17.89694191262342,0.261406841706456,4.303289967277864,0.001,5.0,0.5,0.5,0.1,50.0,0.5,50.0,0.7967409995283439,0.397484611527383,0.9034634282383892,1.1692019173693224,0.994801348087588,1.0009150449934647,1.000238784589268,4.923973807776234,0.9042135827946074,0.2,0.055875467712987355,1.9127272902882535,0.23238034331964175,2,"('b_A', 'V_A')",1,"('K_CB',)",4,"('V_C', 'K_AC', 'K_BC', 'K_CC')"
7,9,3.739640733888654,6.713232585368553,4.684612002680142,4.743389970091794,6.940871993210038,4.745921646616078,5.259339761925143,7.055100117514177,4.862617912601516,0.2225486701126475,0.0525139072260447,0.0267277568452474,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,1.770017700177002,56.22056220562206,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",17.044873111356765,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 10.0, 1.0, 0.5, 10.0, 5.0, 10.0, 20.0, 5.0, 100.0, 5.0, 10.0)",outputs_second_search/solution_10_0_51.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",7,in-between,"(20.036686508065014, 157.11966064477295, 10.015870790731082, 10.106627328596428, 11.29968575526109)","(20.0, 100.0, 10.0, 10.0, 10.0)",57.134558564895976,L_BFGS_B,True,26,20.0,100.0,10.0,10.0,10.0,20.036686508065014,157.11966064477295,10.015870790731082,10.106627328596428,11.29968575526109,0.9981690331856892,0.636457586463905,0.998415435755644,0.989449761514929,0.8849803628692983,1,"('V_C',)",0.0078008250931874,0.0007011706364362,0.9101158367146834,0.013836748923802562,0.09205679967659441,59.835627822775955,5.322194161202163,2.5002639948543113,0.0011467020536587037,1.024210199510787,9.091051842866879,5.056879229223253,5.344699586423364,0.0006216802575672189,19.968846937286127,149.3300759704772,10.131908026281767,10.240869838611289,11.133305837534728,0.001,5.0,5.0,5.0,1.0,10.0,5.0,5.0,0.010862858621124231,0.08356225516358316,0.9394621557494275,1.9997888264160468,0.9763620792661984,1.099982727284336,0.9887521084358604,0.9355062747962538,1.0015600832041887,0.669657464178684,0.9869809293629983,0.9764795527716665,0.8982058110975528,3,"('b_A', 'V_A', 'K_BA')",0,(),1,"('V_C',)"
8,10,0.260663326641385,4.858461455821558,2.014824902993612,2.369012949441192,5.564518910784846,2.1145838132337325,6.781962681984712,6.989638679397764,2.186185251497455,1.761791067961428,0.4853693181727037,0.0494202262286003,Active,0.8800088000880009,28.11028110281103,Active,1.770017700177002,56.22056220562206,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",22.37221821669907,"(4.0, 0.001, 0.1, 5.0, 5.0, 10.0, 5.0, 1.0, 0.5, 100.0, 5.0, 5.0, 10.0, 5.0, 50.0, 10.0, 5.0)",outputs_second_search/solution_10_0_53.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",8,labyrinth,"(10.00190985295882, 159.44149790913661, 4.985078820290587, 5.021848176369338, 6.742940222151646)","(10.0, 50.0, 5.0, 5.0, 5.0)",109.45537907679775,L_BFGS_B,True,12,10.0,50.0,5.0,5.0,5.0,10.00190985295882,159.4414979091366,4.985078820290587,5.021848176369338,6.742940222151646,0.9998090511725364,0.3135946454071466,1.0029931682621906,0.9956493753689836,0.7415162874459711,2,"('V_C', 'K_CC')",0.0190264289730728,0.0051852423803673,0.7274715929244631,6.143691476604497,0.018708166902269636,23.554682385577895,5.131763364196224,3.18820377460932,0.6264530261107313,1.0101582344122524,100.41852564730381,10.017894957106185,102.19360978806588,9.554258049950544e-05,6.352299667892244,11.29963905761602,45.002018150500184,495.54529060673804,2.406424039132855,0.001,5.0,5.0,5.0,1.0,100.0,10.0,10.0,0.053452591332114004,0.2122720195565621,0.9743239594569924,1.5682811869867685,0.9899439176297337,0.9958321868937433,0.9982137008640233,0.09785347656021243,1.5742330372959403,4.424920100992051,0.11110612824692677,0.010089895100966608,2.077771796944702,3,"('b_A', 'V_A', 'K_BA')",1,"('K_CB',)",5,"('b_C', 'V_C', 'K_AC', 'K_BC', 'K_CC')"
9,11,0.4833154314978966,26.77227766070811,0.200535916177828,0.5267701897576484,26.8960789790738,0.2005588621551782,0.5715759113778472,27.00709376935613,0.2005816154137838,0.0153346750477611,0.049027495219958,8.6570372423531e-06,Active,0.080000800008,2.8200282002820027,Active,0.080000800008,2.8200282002820027,Active,0.1800018000180002,5.620056200562006,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,0.0900009000090001,2.810028100281003,Active,0.080000800008,2.8200282002820027,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",22.430039363159985,"(4.0, 0.001, 0.1, 5.0, 0.5, 0.5, 1.0, 0.001, 0.1, 5.0, 10.0, 5.0, 1.0, 5.0, 100.0, 0.5, 0.5)",outputs_second_search/solution_10_0_6.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",9,in-between,"(1.0024494418535306, 39.99992848005101, 0.09564867169048653, 9.096635505106784, 0.1795138382590185)","(1.0, 100.0, 1.0, 5.0, 0.5)",60.147415352327016,L_BFGS_B,True,30,1.0,100.0,1.0,5.0,0.5,1.0024494418535306,39.99992848005101,0.0956486716904865,9.096635505106784,0.1795138382590185,0.997556543251696,2.500004470004804,10.454928252803564,0.5496537700332212,2.7853005921390617,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",7.590670009128975e-10,8.641451857740599e-07,1137.430711300569,0.0001701889311209236,0.02273994211309843,40.1579872734881,0.6123115785420152,5.765486537191895,0.0034180658698670496,0.06250456959682617,4.826252770610264,0.5035783476457235,29.59585488833471,9.716105506102945e-07,0.9969302981244169,130.2267318880834,29.901445333643263,6.495127019709661,0.5887647624057518,0.001,5.0,0.5,10.0,0.001,5.0,0.5,0.5,0.04397548573459166,0.12450823209710389,0.8165777318641563,1.7344589976044837,0.015998830268735706,1.0360004412632051,0.9928941590470428,0.01689425772245817,1.0030791539602701,0.7678914962401099,0.03344319944544158,0.7698078859470104,0.8492356063514228,3,"('b_A', 'V_A', 'K_BA')",2,"('b_B', 'K_CB')",3,"('V_C', 'K_AC', 'K_BC')"
